station_id,station_name,latitude,longitude,city_id,city_name
GHCND:AEM00041217,"ABU DHABI INTERNATIONAL, AE",24.433,54.651,CITY:AE000001,"Abu Dhabi, AE"
GHCND:AEM00041194,"DUBAI INTERNATIONAL, AE",25.255,55.364,CITY:AE000002,"Ajman, AE"
GHCND:AEM00041194,"DUBAI INTERNATIONAL, AE",25.255,55.364,CITY:AE000003,"Dubai, AE"
GHCND:AEM00041194,"DUBAI INTERNATIONAL, AE",25.255,55.364,CITY:AE000006,"Sharjah, AE"
GHCND:AFM00040948,"KABUL INTERNATIONAL, AF",34.566,69.212,CITY:AF000007,"Kabul, AF"
GHCND:AFM00040990,"KANDAHAR AIRPORT, AF",31.5,65.85,CITY:AF000008,"Kandahar, AF"
GHCND:AGM00060369,ALGER PORT,36.767,3.1,CITY:AG000001,"Algiers, AG"
GHCND:AGM00060360,"ANNABA, AG",36.822,7.809,CITY:AG000002,"Annaba, AG"
GHCND:AGM00060468,"BATNA, AG",35.55,6.183,CITY:AG000003,"Batna, AG"
GHCND:AGM00060571,"BECHAR, AG",31.646,-2.27,CITY:AG000004,"Bechar, AG"
GHCND:AGM00060402,"SOUMMAM, AG",36.712,5.07,CITY:AG000005,"Bejaia, AG"
GHCND:AGM00060419,"MOHAMED BOUDIAF INTERNATIONAL, AG",36.276,6.62,CITY:AG000006,"Constantine, AG"
GHCND:AGM00060403,"GUELMA, AG",36.467,7.467,CITY:AG000007,"Guelma, AG"
GHCND:AGE00147719,"LAGHOUAT, AG",33.7997,2.89,CITY:AG000008,"Laghouat, AG"
GHCND:AGM00060437,"MEDEA, AG",36.283,2.733,CITY:AG000009,"Medea, AG"
GHCND:AGM00060457,"MOSTAGANEM, AG",35.883,0.117,CITY:AG000010,"Mostaganem, AG"
GHCND:AGM00060490,"ES SENIA, AG",35.624,-0.621,CITY:AG000011,"Oran, AG"
GHCND:AGM00060421,"OUM EL BOUAGHI, AG",35.867,7.117,CITY:AG000012,"Oum el Bouaghi, AG"
GHCND:AGM00060536,"SAIDA, AG",34.867,0.15,CITY:AG000013,"Saida, AG"
GHCND:AGM00060520,"SIDI BEL ABBES, AG",35.2,-0.617,CITY:AG000014,"Sidi-Bel-Abbes, AG"
GHCND:AGM00060355,SKIKDA,36.933,6.95,CITY:AG000015,"Skikda, AG"
GHCND:AG000060680,"TAMANRASSET, AG",22.8,5.4331,CITY:AG000016,"Tamanrasset, AG"
GHCND:AGM00060531,"ZENATA, AG",35.017,-1.45,CITY:AG000017,"Tlemcen, AG"
GHCND:AJ000037866,PIRALLAHI,40.467,50.317,CITY:AJ000001,"Baku, AJ"
GHCND:AJ000037936,"NAXCIVAN, AJ",39.2,45.417,CITY:AJ000002,"Naxcivian, AJ"
GHCND:ALM00013615,"TIRANA RINAS, AL",41.415,19.721,CITY:AL000001,"Durres, AL"
GHCND:ALE00108905,"SHKODRA, AL",42.1,19.5331,CITY:AL000004,"Shkoder, AL"
